------------------------------------------------------------------------------------------------------------------------
                Term |                                                                     Documents it occurs in
             instead |                                                                               {31, 39, 15}
               adopt |                                                                               {27, 20, 15}
                rais |                                                                               {31, 29, 15}
              receiv |                                                                               {48, 43, 15}
               phone |                                                                               {18, 30, 15}
                 jim |                                                                               {40, 17, 15}
            instruct |                                                                               {16, 26, 37}
             william |                                                                               {17, 34, 47}
            surround |                                                                               {32, 17, 30}
                 pay |                                                                               {17, 46, 31}
               trick |                                                                               {18, 44, 29}
                game |                                                                               {33, 18, 43}
                busi |                                                                               {48, 41, 19}
                 job |                                                                               {19, 28, 30}
             perform |                                                                               {19, 44, 31}
                 dog |                                                                               {42, 27, 20}
                aunt |                                                                               {43, 27, 20}
            frustrat |                                                                               {26, 21, 31}
                 bar |                                                                               {49, 37, 21}
                tear |                                                                               {32, 26, 21}
               pursu |                                                                               {24, 22, 30}
                danc |                                                                               {32, 22, 31}
                 van |                                                                               {40, 37, 22}
            although |                                                                               {24, 40, 31}
                side |                                                                               {24, 26, 46}
                late |                                                                               {48, 25, 37}
               throw |                                                                               {25, 42, 44}
            threaten |                                                                               {49, 26, 38}
              asleep |                                                                               {40, 26, 38}
                 cri |                                                                               {32, 27, 36}
                 kid |                                                                               {42, 27, 44}
              despit |                                                                               {41, 34, 27}
                sing |                                                                               {35, 27, 44}
               think |                                                                               {43, 35, 29}
               cover |                                                                               {44, 39, 31}
                best |                                                                               {34, 36, 31}
               littl |                                                                               {32, 37, 38}
               famou |                                                                               {33, 34, 35}
               drive |                                                                               {33, 42, 38}
            children |                                                                               {40, 34, 37}
                took |                                                                               {43, 35, 49}
              teenag |                                                                               {46, 44, 38}
               admit |                                                                               {48, 45, 46}
                team |                                                                               {49, 46, 47}
             contest |                                                                               {49, 46, 47}
             surgeri |                                                                                    {0, 24}
             michael |                                                                                    {0, 31}
               emerg |                                                                                    {0, 39}
                tour |                                                                                    {0, 19}
            cemeteri |                                                                                    {0, 25}
                buri |                                                                                     {0, 6}
              listen |                                                                                    {0, 26}
               among |                                                                                     {0, 3}
               widow |                                                                                    {0, 23}
               billi |                                                                                    {0, 31}
